node,mean_d_base,mean_d_sl,delta_mean_d,borough,lon,lat
490001227F,148.6,55.63,92.97,Greenwich,0.08381,51.49033
490002234Z,82.13,45.72,36.41,Richmond upon Thames,-0.32867,51.45658
490007762C,81.1625,38.39,42.7725,Ealing,-0.33468,51.50993
490000103Z,90.3475,33.8425,56.505,Hillingdon,-0.4232,51.46692
490014539E,136.835,55.24,81.595,Redbridge,0.10647,51.56597
490013194S,124.105,57.53,66.575,Waltham Forest,-0.00441,51.55192
490012590S,83.78,37.8225,45.9575,Barnet,-0.22963,51.5691
490009611W,111.655,50.33,61.325,Waltham Forest,-0.01115,51.62705
490014145W,141.2425,60.4275,80.815,Barking and Dagenham,0.13547,51.56126
4900018701W,82.135,35.2575,46.8775,Kingston upon Thames,-0.29025,51.41175
490009961S,80.8425,46.57,34.2725,Hounslow,-0.3313,51.46019
490007882K,122.235,56.4075,65.8275,Waltham Forest,0.01077,51.56759
490009951N,91.1325,46.765,44.3675,Croydon,-0.13312,51.39035
490004709W,84.54,33.875,50.665,Richmond upon Thames,-0.32871,51.42728
490007935N,100.53,47.6125,52.9175,Hillingdon,-0.40757,51.592
490006988E,123.56,57.0925,66.4675,Waltham Forest,-0.00252,51.55955
490005796S,105.4325,44.86,60.5725,Bromley,-0.03672,51.40282
490013418N,124.735,62.7,62.035,Bromley,0.11361,51.36317
490011922W,80.58,47.01,33.57,Richmond upon Thames,-0.31641,51.45421
490011949N,82.33,42.12,40.21,Ealing,-0.32463,51.52527
490008853W,149.0225,62.2975,86.725,Greenwich,0.076,51.48127
490007278S,84.16040100250626,38.91729323308271,45.24310776942356,Ealing,-0.35505,51.5163
490001101M,101.55639097744361,51.20802005012531,50.34837092731829,Enfield,-0.07862,51.65233
490012278N,150.5125,73.34,77.1725,Havering,0.22312,51.58673
490011533N,105.155,51.7175,53.4375,Hillingdon,-0.43681,51.5897
490004507B,82.8475,41.75,41.0975,Ealing,-0.33246,51.51577
490009833E,87.0075,44.8025,42.205,Merton,-0.19907,51.40642
490015837W,102.585,42.4675,60.1175,Enfield,-0.0746,51.61204
490009179S1,141.3325,61.4575,79.875,Barking and Dagenham,0.13034,51.55621
490006074W,153.37,76.1625,77.2075,Havering,0.22601,51.60333
490007969Z,142.6925,51.1425,91.55,Bexley,0.12016,51.46698
490009329E,147.225,52.0425,95.1825,Greenwich,0.11625,51.4817
490012378E,88.875,46.22,42.655,Merton,-0.21266,51.41923
490010741W,78.7825,43.3625,35.42,Ealing,-0.27319,51.50132
490010639E,116.2675,54.1775,62.09,Bromley,0.09334,51.36474
490015704S,92.8375,43.73,49.1075,Barnet,-0.26539,51.61154
490005420S,89.32,36.655,52.665,Harrow,-0.31395,51.59906
490003957S2,106.81,52.49,54.32,Croydon,-0.09252,51.41316
490012314E,92.385,41.0375,51.3475,Barnet,-0.24198,51.60255
490015638S,84.0325,32.9225,51.11,Kingston upon Thames,-0.2613,51.39843
490007786E,109.055,53.065,55.99,Hillingdon,-0.48334,51.60471
490013177N,82.545,33.5525,48.9925,Richmond upon Thames,-0.3372,51.43054
490007602W,79.72431077694236,44.661654135338345,35.06265664160401,Ealing,-0.28438,51.50122
490004468S,119.39,45.0025,74.3875,Bromley,0.01677,51.42067
490011881E,123.735,61.7,62.035,Bromley,0.11113,51.3641
490002024A,102.3975,42.2625,60.135,Croydon,-0.0556,51.35941
490013611E,93.8625,40.9675,52.895,Croydon,-0.12319,51.40914
490001216E,101.415,44.835,56.58,Croydon,-0.07511,51.39863
490009580J,107.5925,43.1175,64.475,Bromley,-0.02649,51.40773
490010348S,95.455,40.2475,55.2075,Hillingdon,-0.41686,51.56565
490008568E,149.505,70.8925,78.6125,Greenwich,0.00954,51.47945
490005835W,95.115,41.75,53.365,Croydon,-0.1107,51.36271
490011958W,112.605,39.14,73.465,Bromley,-0.00959,51.39906
490015362S,93.13784461152882,48.847117794486216,44.290726817042604,Barnet,-0.19695,51.56006
490008397J,85.425,45.295,40.13,Hounslow,-0.36193,51.46889
490014529H,105.11,38.9775,66.1325,Bromley,-0.0155,51.37585
490004237S,107.69,46.3425,61.3475,Bromley,-0.03057,51.40003
490010325N,87.855,37.015,50.84,Sutton,-0.22422,51.37487
490010504E,129.655,52.83,76.825,Redbridge,0.09471,51.57602
490006732N,128.1275,55.94,72.1875,Redbridge,0.04925,51.58037
490007192E,89.4375,58.52,30.9175,Richmond upon Thames,-0.23772,51.46477
490020208E,103.3475,51.5475,51.8,Croydon,-0.13565,51.32993
490000816X,121.35,61.7975,59.5525,Bromley,0.02662,51.3118
490010850N,141.67,51.07,90.6,Bexley,0.13476,51.49418
490015373N,90.5775,41.84,48.7375,Hounslow,-0.38601,51.4662
490009785S,151.64,59.18,92.46,Bexley,0.19392,51.45794
490006343W,142.755,52.145,90.61,Bexley,0.15517,51.49808
490007575W,93.01,37.8325,55.1775,Barnet,-0.17264,51.61186
490012758E,92.525,42.4825,50.0425,Harrow,-0.28864,51.60804
490005407E,83.415,50.3,33.115,Richmond upon Thames,-0.27871,51.46426
